pdbid,label
2lzl,Eykaryo. plasma
6xxd,Gram-neg. inner
4gey,Gram-neg. outer
4j72,Gram-neg. inner
3t9n,Gram-pos. inner
7byl,Eykaryo. plasma
5kzo,Eykaryo. plasma
7jrg,Mitochon. inner
2m0q,Eykaryo. plasma
7db6,Eykaryo. plasma
4z3n,Gram-neg. inner
2h8a,Endoplasm. reticulum
6ijo,Thylakoid
5mg3,Gram-neg. inner
3c02,Eykaryo. plasma
4jr9,Gram-neg. inner
5y5s,Thylakoid
6fv6,Gram-neg. inner
7yxa,Eykaryo. plasma
6tzk,Gram-neg. outer
4gc0,Gram-neg. inner
3beh,Gram-neg. inner
5ayn,Gram-neg. inner
6ov2,Eykaryo. plasma
6wvg,Eykaryo. plasma
7zc6,Gram-pos. inner
4hkr,Eykaryo. plasma
5uar,Eykaryo. plasma
2kb7,Endoplasm. reticulum
5l22,Gram-neg. inner
7d5q,Gram-pos. inner
2qts,Eykaryo. plasma
7shf,Eykaryo. plasma
4il3,Endoplasm. reticulum
7fig,Eykaryo. plasma
6zbv,Eykaryo. plasma
6mi7,Gram-neg. inner
5uld,Gram-neg. inner
3rvy,Gram-neg. inner
4p79,Eykaryo. plasma
4wmz,Endoplasm. reticulum
6qph,Thylakoid
6fok,Gram-neg. outer
6wm5,Gram-pos. inner
7cg4,Gram-neg. inner
5nik,Gram-neg. inner
7bp3,Eykaryo. plasma
6s7v,Gram-pos. inner
7rtu,Eykaryo. plasma
6fj3,Eykaryo. plasma
4rlc,Gram-neg. outer
5o78,Gram-neg. outer
5t77,Gram-neg. inner
7dr0,Thylakoid
7xbd,Eykaryo. plasma
6tej,Gram-pos. inner
7r0w,Thylakoid
4xk8,Thylakoid
7bc6,Eykaryo. plasma
6hum,Gram-neg. inner
6wuh,Mitochon. outer
7aqq,Mitochon. inner
5y83,Gram-neg. inner
6khi,Gram-neg. inner
6so5,Endoplasm. reticulum
5kbt,Eykaryo. plasma
7s8l,Eykaryo. plasma
6ki1,Gram-neg. inner
6gs4,Gram-neg. inner
5kua,Gram-neg. inner
7pgi,Gram-neg. inner
6i97,Gram-neg. outer
1s5h,Gram-pos. inner
6iyc,Eykaryo. plasma
2los,Mitochon. inner
6fwf,Gram-neg. inner
1a0s,Gram-neg. outer
7nb6,Gram-neg. inner
6j8e,Eykaryo. plasma
7bmh,Eykaryo. plasma
3j9p,Eykaryo. plasma
5l25,Eykaryo. plasma
1u7g,Gram-neg. inner
7jic,Eykaryo. plasma
5mkk,Gram-neg. inner
7nyr,Gram-neg. inner
7cyn,Endoplasm. reticulum
5lxg,Eykaryo. plasma
6qkc,Eykaryo. plasma
7tx6,Eykaryo. plasma
2ks1,Eykaryo. plasma
5och,Mitochon. inner
7pd4,Eykaryo. plasma
5gko,Gram-neg. inner
7cj3,Eykaryo. plasma
3ohn,Gram-neg. outer
7efo,Gram-neg. inner
5azs,Gram-neg. outer
7ddz,Eykaryo. plasma
7a23,Mitochon. inner
7k0l,Endoplasm. reticulum
4k0e,Gram-neg. inner
5guf,Archaebac.
3qf4,Gram-neg. inner
4v6m,Gram-neg. inner
6z0i,Eykaryo. plasma
7xw5,Eykaryo. plasma
7kc4,Eykaryo. plasma
1qjp,Gram-neg. outer
6y9b,Eykaryo. plasma
5xmj,Gram-neg. inner
7t9i,Eykaryo. plasma
6sh3,Mitochon. inner
2mi2,Gram-neg. inner
2kv5,Gram-pos. inner
5x5y,Gram-neg. inner
3kvn,Gram-neg. outer
7oz1,Eykaryo. plasma
1q90,Thylakoid
3s0x,Archaebac.
5bun,Gram-neg. outer
2bl2,Gram-pos. inner
5vkq,Eykaryo. plasma
5tv4,Gram-neg. inner
5kte,Gram-neg. inner
2xzb,Eykaryo. plasma
4g1u,Gram-neg. inner
1qd6,Gram-neg. outer
6nwd,Gram-neg. inner
6fos,Thylakoid
6j5j,Mitochon. inner
2w5j,Thylakoid
2ksr,Eykaryo. plasma
7abw,Gram-neg. inner
5yq7,Gram-neg. inner
4cad,Archaebac.
2nq2,Gram-neg. inner
3ldc,Archaebac.
6r2q,Gram-neg. outer
6bfg,Gram-neg. inner
5b57,Gram-neg. inner
6li0,Eykaryo. plasma
7nvh,Gram-pos. inner
4g80,Eykaryo. plasma
3hfx,Gram-neg. inner
4q2e,Gram-neg. inner
3o7q,Gram-neg. inner
3vvk,Archaebac.
6p9x,Eykaryo. plasma
7jna,Eykaryo. plasma
7d3e,Eykaryo. plasma
3m73,Gram-neg. inner
5ixm,Gram-neg. outer
6w2y,Eykaryo. plasma
7qn9,Eykaryo. plasma
1dxr,Thylakoid
5llu,Eykaryo. plasma
8e9g,Gram-pos. inner
6c70,Eykaryo. plasma
7ot9,Gram-neg. inner
5iji,Gram-neg. inner
6z0f,Gram-pos. inner
2ita,Gram-neg. inner
6cd2,Gram-neg. outer
7ahc,Gram-pos. inner
5kk2,Eykaryo. plasma
5oqk,Eykaryo. plasma
6k6k,Gram-neg. inner
2lzr,Gram-neg. inner
3qlb,Gram-neg. outer
6kmx,Thylakoid
4mrs,Gram-neg. inner
2vpz,Gram-neg. inner
6eus,Gram-neg. outer
2n90,Eykaryo. plasma
6ly9,Gram-neg. inner
6gie,Gram-neg. outer
3wbn,Archaebac.
7pge,Gram-neg. outer
4l6r,Eykaryo. plasma
3l1l,Gram-neg. inner
8djk,Endoplasm. reticulum
7ew6,Thylakoid
5zaz,Eykaryo. plasma
7n6q,Endoplasm. reticulum
7bu6,Eykaryo. plasma
7ksq,Thylakoid
6kob,Gram-pos. inner
7m93,Endoplasm. reticulum
1p4t,Gram-neg. outer
7mbx,Eykaryo. plasma
5b2g,Eykaryo. plasma
5vkv,Gram-neg. inner
7rtw,Eykaryo. plasma
3qra,Gram-neg. outer
6csm,Eykaryo. plasma
6v22,Eykaryo. plasma
6c14,Eykaryo. plasma
7p5c,Eykaryo. plasma
1h2s,Archaebac.
5oek,Eykaryo. plasma
2ka2,Mitochon. outer
4tlm,Eykaryo. plasma
7b03,Gram-neg. inner
4ymu,Gram-pos. inner
6xmp,Endoplasm. reticulum
6xpd,Eykaryo. plasma
6mg8,Eykaryo. plasma
7cfs,Eykaryo. plasma
7pij,Gram-pos. inner
6xxe,Gram-neg. inner
1m56,Gram-neg. inner
6i6h,Endoplasm. reticulum
6cb2,Gram-neg. inner
6dmy,Eykaryo. plasma
4epa,Gram-neg. outer
6rko,Gram-neg. inner
3kg2,Eykaryo. plasma
2f2b,Archaebac.
4jkv,Eykaryo. plasma
6lfm,Eykaryo. plasma
5dir,Gram-neg. inner
