pdbid,label
6nwf,Gram-neg. inner
7vor,Gram-neg. inner
1l9b,Thylakoid
7tyx,Eykaryo. plasma
6rx4,Gram-neg. inner
5xte,Mitochon. inner
1tly,Gram-neg. outer
4n6h,Eykaryo. plasma
2z73,Eykaryo. plasma
4g80,Eykaryo. plasma
3o7q,Gram-neg. inner
4j72,Gram-neg. inner
4f4l,Gram-neg. inner
1xio,Gram-neg. inner
7d5i,Gram-pos. inner
5gli,Eykaryo. plasma
2kdc,Gram-neg. inner
7vl8,Eykaryo. plasma
6lyr,Gram-neg. outer
5b2g,Eykaryo. plasma
2dyr,Mitochon. inner
7m33,Gram-pos. inner
5u1x,Eykaryo. plasma
1fjk,Endoplasm. reticulum
3vou,Gram-neg. inner
1rkl,Endoplasm. reticulum
6fwf,Gram-neg. inner
7sf8,Eykaryo. plasma
5tsa,Gram-neg. inner
6e9n,Gram-neg. inner
5fok,Gram-neg. outer
2hi7,Gram-neg. inner
4dve,Gram-pos. inner
4av3,Gram-neg. inner
4tkr,Gram-pos. inner
7vl9,Eykaryo. plasma
5oqk,Eykaryo. plasma
3v89,Gram-neg. outer
4tlm,Eykaryo. plasma
7kka,Gram-neg. inner
7ji3,Eykaryo. plasma
5c78,Gram-neg. inner
7wff,Thylakoid
7cr0,Eykaryo. plasma
1c17,Gram-neg. inner
5lil,Gram-neg. inner
3wkv,Eykaryo. plasma
6v22,Eykaryo. plasma
5ktf,Eykaryo. plasma
6li0,Eykaryo. plasma
6rko,Gram-neg. inner
7cha,Gram-neg. inner
4q65,Gram-neg. inner
3bs0,Gram-neg. outer
5xnl,Thylakoid
4bem,Gram-pos. inner
6lfl,Eykaryo. plasma
2m6x,Endoplasm. reticulum
7ssv,Eykaryo. plasma
7dl9,Gram-neg. inner
6p6i,Gram-neg. inner
4zyo,Endoplasm. reticulum
7d61,Eykaryo. plasma
7db6,Eykaryo. plasma
7cge,Gram-neg. inner
6wv3,Endoplasm. reticulum
7drt,Eykaryo. plasma
6rfr,Mitochon. inner
5doq,Gram-pos. inner
6lmv,Eykaryo. plasma
7e1v,Gram-pos. inner
7pd4,Eykaryo. plasma
6x6k,Gram-neg. outer
7bvf,Gram-pos. inner
6j5j,Mitochon. inner
7dtd,Eykaryo. plasma
3qf4,Gram-neg. inner
5dn6,Gram-neg. inner
5sv0,Gram-neg. inner
6mgv,Eykaryo. plasma
2ynk,Gram-neg. outer
7c9r,Thylakoid
5lxg,Eykaryo. plasma
6lmt,Eykaryo. plasma
7d76,Eykaryo. plasma
6ei3,Gram-neg. inner
7jv5,Eykaryo. plasma
6sss,Endoplasm. reticulum
7qkr,Eykaryo. plasma
6coy,Eykaryo. plasma
1l7v,Gram-neg. inner
2oar,Gram-pos. inner
5l22,Gram-neg. inner
7t6t,Eykaryo. plasma
2z5x,Mitochon. outer
5o8o,Mitochon. outer
6ysf,Gram-pos. inner
2l6x,Gram-neg. inner
7dd5,Eykaryo. plasma
4r0c,Gram-neg. inner
3wi4,Gram-neg. outer
7n6q,Endoplasm. reticulum
8ap9,Mitochon. inner
6eyu,Archaebac.
4b4a,Gram-neg. inner
5a43,Gram-neg. inner
7myz,Eykaryo. plasma
6fok,Gram-neg. outer
6pep,Gram-neg. inner
5sv9,Eykaryo. plasma
2yvx,Gram-neg. inner
1p7b,Gram-neg. inner
7ccs,Eykaryo. plasma
6u0o,Gram-pos. inner
6k6k,Gram-neg. inner
4hyj,Gram-pos. inner
6a69,Eykaryo. plasma
7c4s,Eykaryo. plasma
2o4v,Gram-neg. outer
1dxr,Thylakoid
3ne2,Archaebac.
7bty,Mitochon. outer
6l3t,Eykaryo. plasma
5nam,Eykaryo. plasma
5mkk,Gram-neg. inner
7mit,Eykaryo. plasma
7pbw,Gram-neg. inner
4lz6,Gram-pos. inner
2lme,Gram-neg. outer
7qe5,Gram-neg. inner
7l0s,Eykaryo. plasma
6zka,Mitochon. inner
