pdbid,label
6cjt,Gram-neg. inner
6r6b,Gram-neg. inner
5l8r,Thylakoid
7s8l,Eykaryo. plasma
4gc0,Gram-neg. inner
4wz7,Mitochon. inner
2k0l,Gram-neg. outer
4grv,Eykaryo. plasma
2a79,Eykaryo. plasma
4hkr,Eykaryo. plasma
1kqf,Gram-neg. inner
5xmj,Gram-neg. inner
7o0w,Gram-neg. inner
6fvq,Gram-neg. inner
3tds,Gram-pos. inner
2na7,Eykaryo. plasma
6rx4,Gram-neg. inner
2maw,Eykaryo. plasma
4b7o,Gram-neg. outer
2n7i,Eykaryo. plasma
4ysx,Mitochon. inner
3ayf,Gram-pos. inner
5sy1,Eykaryo. plasma
2wwb,Endoplasm. reticulum
5vkv,Gram-neg. inner
2lat,Endoplasm. reticulum
4uc1,Gram-neg. inner
7f56,Eykaryo. plasma
4zp0,Gram-neg. inner
2qjy,Gram-neg. inner
5ldv,Gram-neg. outer
6e9n,Gram-neg. inner
7kyo,Gram-pos. inner
6gs4,Gram-neg. inner
4ymu,Gram-pos. inner
7qvm,Eykaryo. plasma
5zgg,Eykaryo. plasma
2iwv,Gram-neg. outer
4g80,Eykaryo. plasma
6cvl,Gram-neg. inner
7d61,Eykaryo. plasma
1p7b,Gram-neg. inner
7coy,Thylakoid
7jjo,Eykaryo. plasma
6ehb,Gram-neg. outer
3llq,Gram-neg. inner
3vw7,Eykaryo. plasma
6rw3,Eykaryo. plasma
5h1r,Eykaryo. plasma
6mie,Eykaryo. plasma
6s8h,Gram-neg. inner
5mg3,Gram-neg. inner
5lil,Gram-neg. inner
3rbh,Gram-neg. outer
6l35,Thylakoid
7d6x,Gram-pos. inner
6ksw,Eykaryo. plasma
3zd0,Endoplasm. reticulum
7xbd,Eykaryo. plasma
6rko,Gram-neg. inner
5gae,Gram-neg. inner
4cg5,Endoplasm. reticulum
7bu6,Eykaryo. plasma
7kh0,Eykaryo. plasma
6nwf,Gram-neg. inner
7bw1,Endoplasm. reticulum
7rtu,Eykaryo. plasma
7jrg,Mitochon. inner
6kob,Gram-pos. inner
6lmv,Eykaryo. plasma
6wk5,Gram-pos. inner
