pdbid,label
5y83,Gram-neg. inner
6ebu,Gram-neg. inner
1wrg,Thylakoid
7vl9,Eykaryo. plasma
4gc0,Gram-neg. inner
4wz7,Mitochon. inner
3kvn,Gram-neg. outer
4f4c,Eykaryo. plasma
2a79,Eykaryo. plasma
2lnl,Eykaryo. plasma
1p7b,Gram-neg. inner
6fvq,Gram-neg. inner
7o0u,Gram-neg. inner
5nv9,Gram-neg. inner
3tds,Gram-pos. inner
2n7i,Eykaryo. plasma
6s8h,Gram-neg. inner
3j5p,Eykaryo. plasma
6eus,Gram-neg. outer
5sy1,Eykaryo. plasma
4ysx,Mitochon. inner
3vmt,Gram-pos. inner
5b2g,Eykaryo. plasma
5o5e,Endoplasm. reticulum
5lil,Gram-neg. inner
2lat,Endoplasm. reticulum
4qnc,Gram-neg. inner
7s5t,Eykaryo. plasma
4xtl,Gram-neg. inner
3aqp,Gram-neg. inner
5ldv,Gram-neg. outer
6r6b,Gram-neg. inner
6z0f,Gram-pos. inner
5zug,Gram-neg. inner
4ymu,Gram-pos. inner
7f6h,Eykaryo. plasma
6j8e,Eykaryo. plasma
2k0l,Gram-neg. outer
2m59,Eykaryo. plasma
6bfg,Gram-neg. inner
7ddz,Eykaryo. plasma
1c17,Gram-neg. inner
7czl,Thylakoid
7cfm,Eykaryo. plasma
6gie,Gram-neg. outer
4q2e,Gram-neg. inner
4hkr,Eykaryo. plasma
6pwc,Eykaryo. plasma
5u1x,Eykaryo. plasma
6ksp,Eykaryo. plasma
6nwd,Gram-neg. inner
5lcb,Gram-neg. inner
5tv4,Gram-neg. inner
2gr7,Gram-neg. outer
6z5r,Thylakoid
7cad,Gram-pos. inner
6wlb,Eykaryo. plasma
4cg5,Endoplasm. reticulum
7tyh,Eykaryo. plasma
6e9c,Gram-neg. inner
5l22,Gram-neg. inner
2mts,Endoplasm. reticulum
7jna,Eykaryo. plasma
7lep,Eykaryo. plasma
6rwy,Gram-neg. inner
6v3f,Endoplasm. reticulum
7rtu,Eykaryo. plasma
7jrp,Mitochon. inner
6ryo,Gram-pos. inner
6v1y,Eykaryo. plasma
6wtw,Gram-pos. inner
7yxa,Eykaryo. plasma
4aui,Gram-neg. outer
2mmu,Gram-pos. inner
6lo8,Mitochon. inner
7jsj,Eykaryo. plasma
7cye,Gram-neg. inner
5gko,Gram-neg. inner
7met,Gram-neg. inner
6fuf,Eykaryo. plasma
6ehb,Gram-neg. outer
6qph,Thylakoid
5u70,Eykaryo. plasma
6ukn,Eykaryo. plasma
7d3e,Eykaryo. plasma
5mkk,Gram-neg. inner
7d61,Eykaryo. plasma
6wvd,Endoplasm. reticulum
7fig,Eykaryo. plasma
6bqr,Eykaryo. plasma
3beh,Gram-neg. inner
7d5q,Gram-pos. inner
7b03,Gram-neg. inner
7f61,Eykaryo. plasma
7ck6,Mitochon. outer
2z5x,Mitochon. outer
2los,Mitochon. inner
6iok,Gram-neg. inner
7dtd,Eykaryo. plasma
5zov,Gram-neg. inner
6x6k,Gram-neg. outer
7czb,Endoplasm. reticulum
6dnf,Mitochon. inner
6cse,Archaebac.
7ari,Gram-neg. inner
4lep,Gram-neg. inner
7db6,Eykaryo. plasma
6cd2,Gram-neg. outer
5n9y,Gram-neg. inner
5i6c,Eykaryo. plasma
6r69,Gram-neg. inner
7cff,Gram-neg. inner
7cfs,Eykaryo. plasma
4pgr,Gram-pos. inner
7tpg,Gram-neg. inner
5d92,Gram-pos. inner
6c70,Eykaryo. plasma
7myz,Eykaryo. plasma
1tly,Gram-neg. outer
2w5j,Thylakoid
2nwl,Archaebac.
4bum,Mitochon. outer
7bp3,Eykaryo. plasma
5lxg,Eykaryo. plasma
4r0c,Gram-neg. inner
7np3,Eykaryo. plasma
3rce,Gram-neg. inner
7b0p,Gram-pos. inner
6wim,Gram-neg. outer
5eke,Gram-neg. inner
6l6p,Eykaryo. plasma
7clv,Mitochon. inner
5xnl,Thylakoid
7jro,Mitochon. inner
5gae,Gram-neg. inner
5or1,Gram-neg. outer
4mnd,Archaebac.
5gjv,Eykaryo. plasma
4ev6,Archaebac.
7mbx,Eykaryo. plasma
6kmx,Thylakoid
5fq6,Gram-neg. outer
3tij,Gram-neg. inner
3b5x,Gram-neg. inner
5wq7,Gram-neg. outer
2lzr,Gram-neg. inner
4k5y,Eykaryo. plasma
5wln,Gram-neg. inner
4kpp,Archaebac.
2mic,Eykaryo. plasma
4w6v,Gram-neg. inner
4x5m,Gram-neg. inner
4hzu,Gram-pos. inner
3qq2,Gram-neg. outer
4jq6,Gram-neg. inner
3am6,Eykaryo. plasma
6jxr,Eykaryo. plasma
6ykm,Gram-neg. inner
4aps,Gram-pos. inner
3hd6,Eykaryo. plasma
3tui,Gram-neg. inner
4tkr,Gram-pos. inner
5fp2,Gram-neg. outer
7p34,Gram-neg. inner
7ji3,Eykaryo. plasma
4ayt,Mitochon. inner
6gci,Mitochon. inner
6qkc,Eykaryo. plasma
6rhz,Thylakoid
2lhf,Gram-neg. outer
2yiu,Gram-neg. inner
7wwb,Eykaryo. plasma
2k74,Gram-neg. inner
7d3u,Gram-pos. inner
6ye4,Gram-neg. inner
5l25,Eykaryo. plasma
6nhh,Gram-neg. inner
6vja,Eykaryo. plasma
3b4r,Archaebac.
4hg6,Gram-neg. inner
3dh4,Gram-neg. inner
3puw,Gram-neg. inner
7p2p,Endoplasm. reticulum
5wua,Eykaryo. plasma
6p9x,Eykaryo. plasma
7mhz,Endoplasm. reticulum
7ccs,Eykaryo. plasma
2z73,Eykaryo. plasma
6li0,Eykaryo. plasma
8djk,Endoplasm. reticulum
6i97,Gram-neg. outer
7n4x,Eykaryo. plasma
7yzi,Gram-pos. inner
7kka,Gram-neg. inner
3wu2,Thylakoid
6tzk,Gram-neg. outer
6o58,Mitochon. inner
2erv,Gram-neg. outer
6dw0,Eykaryo. plasma
2klu,Eykaryo. plasma
1vgo,Archaebac.
5iwk,Eykaryo. plasma
4rl9,Gram-neg. outer
3wme,Eykaryo. plasma
2mgy,Mitochon. outer
6u0o,Gram-pos. inner
7bw1,Endoplasm. reticulum
2vdf,Gram-neg. outer
6ak3,Eykaryo. plasma
6vyh,Eykaryo. plasma
2qi9,Gram-neg. inner
4rp8,Gram-neg. inner
3wi4,Gram-neg. outer
6n3q,Endoplasm. reticulum
7mew,Gram-neg. inner
5twv,Eykaryo. plasma
2vqi,Gram-neg. outer
4q79,Gram-neg. outer
3j1z,Gram-neg. inner
2onk,Archaebac.
2lly,Eykaryo. plasma
6ww2,Eykaryo. plasma
3b60,Gram-neg. inner
3qe7,Gram-neg. inner
6mg8,Eykaryo. plasma
7drt,Eykaryo. plasma
7xat,Eykaryo. plasma
4xk8,Thylakoid
2xut,Gram-neg. inner
4myc,Mitochon. inner
2h8a,Endoplasm. reticulum
7c9r,Thylakoid
6tt7,Mitochon. inner
6xmp,Endoplasm. reticulum
2wlk,Gram-neg. inner
7mdc,Gram-neg. inner
6fmx,Gram-pos. inner
5xjy,Eykaryo. plasma
2ita,Gram-neg. inner
6yuz,Eykaryo. plasma
4gd3,Gram-neg. inner
3o7q,Gram-neg. inner
6rx4,Gram-neg. inner
6lkn,Endoplasm. reticulum
6eyu,Archaebac.
4dkl,Eykaryo. plasma
6jpf,Eykaryo. plasma
7cr0,Eykaryo. plasma
5v8k,Gram-pos. inner
4c9g,Mitochon. inner
3jc2,Endoplasm. reticulum
7nb6,Gram-neg. inner
6wxr,Eykaryo. plasma
4j72,Gram-neg. inner
4n4r,Gram-neg. outer
2l16,Gram-pos. inner
2qts,Eykaryo. plasma
5hk1,Endoplasm. reticulum
5jwy,Gram-neg. inner
3ldc,Archaebac.
3tx3,Gram-neg. inner
4j9u,Gram-neg. inner
5oyk,Gram-neg. outer
6ww7,Endoplasm. reticulum
4gx0,Gram-neg. inner
6jbh,Gram-pos. inner
6tko,Eykaryo. plasma
5a2n,Eykaryo. plasma
6hwh,Gram-pos. inner
6leo,Eykaryo. plasma
6m04,Eykaryo. plasma
7eeb,Eykaryo. plasma
7p16,Eykaryo. plasma
3s0x,Archaebac.
7dtw,Eykaryo. plasma
3qf4,Gram-neg. inner
6so5,Endoplasm. reticulum
6k1h,Gram-neg. inner
7cae,Gram-pos. inner
2wwb,Endoplasm. reticulum
7ezz,Gram-neg. outer
2kse,Gram-neg. inner
6irs,Eykaryo. plasma
3d31,Archaebac.
6m17,Eykaryo. plasma
4a2n,Archaebac.
7ew6,Thylakoid
7k7a,Eykaryo. plasma
7e4i,Mitochon. outer
7jgb,Gram-pos. inner
7jv5,Eykaryo. plasma
4us3,Gram-pos. inner
1yce,Gram-neg. inner
7ku5,Thylakoid
6lw5,Eykaryo. plasma
6qc6,Mitochon. inner
7t6d,Gram-neg. inner
2iwv,Gram-neg. outer
6qd5,Eykaryo. plasma
6x4s,Mitochon. inner
6kfq,Gram-pos. inner
2bl2,Gram-pos. inner
7x1t,Eykaryo. plasma
5doq,Gram-pos. inner
5jsi,Gram-pos. inner
6e3y,Eykaryo. plasma
4z3n,Gram-neg. inner
7e4g,Archaebac.
6s7o,Endoplasm. reticulum
2bs2,Gram-neg. inner
5zji,Thylakoid
7d6x,Gram-pos. inner
3dzm,Gram-neg. outer
2jp3,Eykaryo. plasma
6j5j,Mitochon. inner
3hb3,Gram-neg. inner
5x5y,Gram-neg. inner
4b7o,Gram-neg. outer
7lg1,Eykaryo. plasma
6wj6,Thylakoid
4rdr,Gram-neg. outer
5mlz,Archaebac.
5cbg,Gram-pos. inner
5guw,Gram-neg. inner
4or2,Eykaryo. plasma
7o37,Mitochon. inner
5vkv,Gram-neg. inner
7p5c,Eykaryo. plasma
5kk2,Eykaryo. plasma
7n6q,Endoplasm. reticulum
4b2q,Mitochon. inner
3gp6,Gram-neg. outer
3ddl,Gram-neg. inner
4fqe,Gram-neg. outer
7op3,Endoplasm. reticulum
5af1,Eykaryo. plasma
6hcp,Gram-neg. outer
1dxr,Thylakoid
6xpd,Eykaryo. plasma
6fv6,Gram-neg. inner
6by3,Gram-pos. inner
3gia,Archaebac.
7spc,Gram-neg. outer
3l1l,Gram-neg. inner
6g9o,Eykaryo. plasma
7w6k,Eykaryo. plasma
4g1u,Gram-neg. inner
6u9v,Eykaryo. plasma
6f7h,Eykaryo. plasma
7tuy,Eykaryo. plasma
6dlz,Eykaryo. plasma
5y5s,Thylakoid
6tqe,Gram-pos. inner
1kqf,Gram-neg. inner
7xbw,Eykaryo. plasma
6s3r,Gram-neg. inner
7eq1,Eykaryo. plasma
5xmj,Gram-neg. inner
4xt3,Eykaryo. plasma
3spc,Eykaryo. plasma
7aqq,Mitochon. inner
3csl,Gram-neg. outer
6sni,Endoplasm. reticulum
3llq,Gram-neg. inner
6c5w,Mitochon. inner
6jnf,Mitochon. outer
5xtd,Mitochon. inner
4dji,Gram-neg. inner
5u1d,Endoplasm. reticulum
6jfy,Eykaryo. plasma
6yez,Thylakoid
4v6m,Gram-neg. inner
1qle,Gram-neg. inner
6ds5,Endoplasm. reticulum
2xok,Mitochon. inner
5nam,Eykaryo. plasma
7jjo,Eykaryo. plasma
5ekq,Gram-neg. outer
3hfx,Gram-neg. inner
5v7p,Endoplasm. reticulum
